Age,Experience,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
25,1,4.08,4,1.6,1,0,0,1,0,0,0
45,19,2.83,3,1.5,1,0,0,1,0,0,0
39,15,0.92,1,1.0,1,0,0,0,0,0,0
35,9,8.33,1,2.7,2,0,0,0,0,0,0
35,8,3.75,4,1.0,2,0,0,0,0,0,1
37,13,2.42,4,0.4,2,155,0,0,0,1,0
53,27,6.0,2,1.5,2,0,0,0,0,1,0
50,24,1.83,1,0.3,3,0,0,0,0,0,1
35,10,6.75,3,0.6,2,104,0,0,0,1,0
34,9,15.0,1,8.9,3,0,1,0,0,0,0
65,39,8.75,4,2.4,3,0,0,0,0,0,0
29,5,3.75,3,0.1,2,0,0,0,0,1,0
48,23,9.5,2,3.8,3,0,0,1,0,0,0
59,32,3.33,4,2.5,2,0,0,0,0,1,0
67,41,9.33,1,2.0,1,0,0,1,0,0,0
60,30,1.83,1,1.5,3,0,0,0,0,1,1
38,14,10.83,4,4.7,3,134,1,0,0,0,0
42,18,6.75,4,2.4,1,0,0,0,0,0,0
46,21,16.08,2,8.1,3,0,1,0,0,0,0
55,28,1.75,1,0.5,2,0,0,1,0,0,1
56,31,2.08,4,0.9,2,111,0,0,0,1,0
57,27,5.25,3,2.0,3,0,0,0,0,1,0
29,5,5.17,1,1.2,1,260,0,0,0,1,0
44,18,3.58,2,0.7,1,163,0,1,0,0,0
36,11,12.67,2,3.9,1,159,0,0,0,0,1
43,19,2.42,3,0.5,1,97,0,0,0,1,0
40,16,6.92,4,0.2,3,0,0,0,0,0,0
46,20,13.17,1,2.4,1,0,0,0,0,1,1
56,30,4.0,1,2.2,3,0,0,0,0,1,1
38,13,9.92,1,3.3,2,0,1,0,1,1,1
59,35,2.92,1,1.2,3,122,0,0,0,1,0
40,16,2.42,1,2.0,2,0,0,0,0,1,0
53,28,3.42,2,0.6,3,193,0,0,0,0,0
30,6,1.5,3,0.9,3,0,0,0,0,0,0
31,5,4.17,4,1.8,3,0,0,0,0,1,0
48,24,6.75,3,0.7,1,0,0,0,0,0,0
59,35,10.08,1,2.9,1,0,0,0,0,0,1
51,25,5.92,1,1.4,3,198,0,0,0,0,0
42,18,11.75,3,5.0,3,0,1,1,1,1,0
38,13,6.67,4,0.7,3,285,0,0,0,1,0
57,32,7.0,3,1.6,3,0,0,1,0,0,0
34,9,5.0,3,2.3,1,0,0,0,0,0,0
32,7,11.0,4,1.1,2,412,1,0,0,1,0
39,15,3.75,1,0.7,1,0,0,0,0,1,0
46,20,8.67,1,5.7,1,0,0,0,0,1,1
57,31,4.33,4,2.5,1,0,0,0,0,0,1
39,14,3.58,3,0.7,2,153,0,0,0,1,0
37,12,16.17,4,0.2,3,211,1,1,1,1,1
56,26,6.75,2,4.5,3,0,0,0,0,0,1
40,16,4.08,1,1.8,1,0,0,0,0,0,1
32,8,0.67,4,0.7,2,0,0,1,0,1,0
61,37,10.92,1,2.9,1,0,0,0,0,1,0
30,6,6.0,1,0.1,1,207,0,0,0,0,0
50,26,15.83,3,2.1,3,240,1,0,0,1,0
29,5,3.67,1,0.2,3,0,0,0,0,1,0
41,17,11.58,2,8.0,1,0,0,0,0,1,0
55,30,2.42,3,0.1,2,0,0,1,1,1,0
56,31,10.92,2,1.2,3,0,1,0,0,0,0
28,2,7.75,2,0.2,1,0,0,0,0,0,0
31,5,15.67,2,4.5,1,455,0,0,0,0,0
49,24,3.25,3,1.7,2,0,0,1,0,1,0
47,21,10.42,1,5.7,1,112,0,1,0,0,0
42,18,1.83,1,1.0,1,0,0,0,0,0,0
42,17,2.67,4,0.0,2,0,0,0,0,1,0
47,23,8.75,2,3.3,1,0,0,0,0,0,0
