Disease,Year,PROVINCE,Week_no,Count
Dengue,2013,Bangkok,1,351
Dengue,2013,Bangkok,2,399
Dengue,2013,Bangkok,3,300
Dengue,2013,Bangkok,4,280
Dengue,2013,Bangkok,5,262
Dengue,2013,Bangkok,6,198
Dengue,2013,Bangkok,7,196
Dengue,2013,Bangkok,8,176
Dengue,2013,Bangkok,9,157
Dengue,2013,Bangkok,10,143
Dengue,2013,Bangkok,11,152
Dengue,2013,Bangkok,12,144
Dengue,2013,Bangkok,13,136
Dengue,2013,Bangkok,14,120
Dengue,2013,Bangkok,15,105
Dengue,2013,Bangkok,16,146
Dengue,2013,Bangkok,17,166
Dengue,2013,Bangkok,18,123
Dengue,2013,Bangkok,19,131
Dengue,2013,Bangkok,20,137
Dengue,2013,Bangkok,21,152
Dengue,2013,Bangkok,22,152
Dengue,2013,Bangkok,23,179
Dengue,2013,Bangkok,24,225
Dengue,2013,Bangkok,25,218
Dengue,2013,Bangkok,26,285
Dengue,2013,Bangkok,27,347
Dengue,2013,Bangkok,28,390
Dengue,2013,Bangkok,29,403
Dengue,2013,Bangkok,30,464
Dengue,2013,Bangkok,31,517
Dengue,2013,Bangkok,32,417
Dengue,2013,Bangkok,33,507
Dengue,2013,Bangkok,34,524
Dengue,2013,Bangkok,35,461
Dengue,2013,Bangkok,36,491
Dengue,2013,Bangkok,37,400
Dengue,2013,Bangkok,38,354
Dengue,2013,Bangkok,39,318
Dengue,2013,Bangkok,40,368
Dengue,2013,Bangkok,41,364
Dengue,2013,Bangkok,42,313
Dengue,2013,Bangkok,43,390
Dengue,2013,Bangkok,44,444
Dengue,2013,Bangkok,45,397
Dengue,2013,Bangkok,46,372
Dengue,2013,Bangkok,47,380
Dengue,2013,Bangkok,48,294
Dengue,2013,Bangkok,49,280
Dengue,2013,Bangkok,50,247
Dengue,2013,Bangkok,51,199
Dengue,2013,Bangkok,52,87
Dengue,2013,Bangkok,53,17
Dengue,2013,Samut Prakan,1,43
Dengue,2013,Samut Prakan,2,54
Dengue,2013,Samut Prakan,3,36
Dengue,2013,Samut Prakan,4,43
Dengue,2013,Samut Prakan,5,32
Dengue,2013,Samut Prakan,6,37
Dengue,2013,Samut Prakan,7,41
Dengue,2013,Samut Prakan,8,21
Dengue,2013,Samut Prakan,9,27
Dengue,2013,Samut Prakan,10,34
Dengue,2013,Samut Prakan,11,39
Dengue,2013,Samut Prakan,12,44
Dengue,2013,Samut Prakan,13,35
Dengue,2013,Samut Prakan,14,39
Dengue,2013,Samut Prakan,15,25
Dengue,2013,Samut Prakan,16,30
Dengue,2013,Samut Prakan,17,39
Dengue,2013,Samut Prakan,18,32
Dengue,2013,Samut Prakan,19,44
Dengue,2013,Samut Prakan,20,35
Dengue,2013,Samut Prakan,21,24
Dengue,2013,Samut Prakan,22,37
Dengue,2013,Samut Prakan,23,10
Dengue,2013,Samut Prakan,24,19
Dengue,2013,Samut Prakan,25,14
Dengue,2013,Samut Prakan,26,31
Dengue,2013,Samut Prakan,27,23
Dengue,2013,Samut Prakan,28,28
Dengue,2013,Samut Prakan,29,30
Dengue,2013,Samut Prakan,30,27
Dengue,2013,Samut Prakan,31,32
Dengue,2013,Samut Prakan,32,41
Dengue,2013,Samut Prakan,33,65
Dengue,2013,Samut Prakan,34,50
Dengue,2013,Samut Prakan,35,53
Dengue,2013,Samut Prakan,36,37
Dengue,2013,Samut Prakan,37,42
Dengue,2013,Samut Prakan,38,41
Dengue,2013,Samut Prakan,39,38
Dengue,2013,Samut Prakan,40,40
Dengue,2013,Samut Prakan,41,47
Dengue,2013,Samut Prakan,42,33
Dengue,2013,Samut Prakan,43,33
Dengue,2013,Samut Prakan,44,38
Dengue,2013,Samut Prakan,45,30
Dengue,2013,Samut Prakan,46,37
Dengue,2013,Samut Prakan,47,44
Dengue,2013,Samut Prakan,48,24
Dengue,2013,Samut Prakan,49,26
Dengue,2013,Samut Prakan,50,20
Dengue,2013,Samut Prakan,51,21
Dengue,2013,Samut Prakan,52,8
Dengue,2013,Samut Prakan,53,18
Dengue,2013,Nonthaburi,1,18
Dengue,2013,Nonthaburi,2,24
Dengue,2013,Nonthaburi,3,26
Dengue,2013,Nonthaburi,4,18
Dengue,2013,Nonthaburi,5,26
Dengue,2013,Nonthaburi,6,25
Dengue,2013,Nonthaburi,7,19
Dengue,2013,Nonthaburi,8,18
Dengue,2013,Nonthaburi,9,26
Dengue,2013,Nonthaburi,10,24
Dengue,2013,Nonthaburi,11,26
Dengue,2013,Nonthaburi,12,25
Dengue,2013,Nonthaburi,13,20
Dengue,2013,Nonthaburi,14,18
Dengue,2013,Nonthaburi,15,7
Dengue,2013,Nonthaburi,16,11
Dengue,2013,Nonthaburi,17,14
Dengue,2013,Nonthaburi,18,17
Dengue,2013,Nonthaburi,19,19
Dengue,2013,Nonthaburi,20,16
Dengue,2013,Nonthaburi,21,10
Dengue,2013,Nonthaburi,22,11
Dengue,2013,Nonthaburi,23,17
Dengue,2013,Nonthaburi,24,17
Dengue,2013,Nonthaburi,25,15
Dengue,2013,Nonthaburi,26,14
Dengue,2013,Nonthaburi,27,28
Dengue,2013,Nonthaburi,28,30
Dengue,2013,Nonthaburi,29,24
Dengue,2013,Nonthaburi,30,38
Dengue,2013,Nonthaburi,31,44
Dengue,2013,Nonthaburi,32,35
Dengue,2013,Nonthaburi,33,39
Dengue,2013,Nonthaburi,34,49
Dengue,2013,Nonthaburi,35,62
Dengue,2013,Nonthaburi,36,56
Dengue,2013,Nonthaburi,37,42
Dengue,2013,Nonthaburi,38,35
Dengue,2013,Nonthaburi,39,35
Dengue,2013,Nonthaburi,40,34
Dengue,2013,Nonthaburi,41,29
Dengue,2013,Nonthaburi,42,34
Dengue,2013,Nonthaburi,43,32
Dengue,2013,Nonthaburi,44,25
Dengue,2013,Nonthaburi,45,30
Dengue,2013,Nonthaburi,46,36
Dengue,2013,Nonthaburi,47,30
Dengue,2013,Nonthaburi,48,21
Dengue,2013,Nonthaburi,49,23
Dengue,2013,Nonthaburi,50,24
Dengue,2013,Nonthaburi,51,13
Dengue,2013,Nonthaburi,52,9
Dengue,2013,Nonthaburi,53,7
Dengue,2013,Pathum Thani,1,24
Dengue,2013,Pathum Thani,2,27
Dengue,2013,Pathum Thani,3,17
Dengue,2013,Pathum Thani,4,21
Dengue,2013,Pathum Thani,5,29
Dengue,2013,Pathum Thani,6,22
Dengue,2013,Pathum Thani,7,22
Dengue,2013,Pathum Thani,8,12
Dengue,2013,Pathum Thani,9,9
Dengue,2013,Pathum Thani,10,10
Dengue,2013,Pathum Thani,11,20
Dengue,2013,Pathum Thani,12,19
Dengue,2013,Pathum Thani,13,15
Dengue,2013,Pathum Thani,14,23
Dengue,2013,Pathum Thani,15,9
Dengue,2013,Pathum Thani,16,15
Dengue,2013,Pathum Thani,17,11
Dengue,2013,Pathum Thani,18,13
Dengue,2013,Pathum Thani,19,21
Dengue,2013,Pathum Thani,20,17
Dengue,2013,Pathum Thani,21,23
Dengue,2013,Pathum Thani,22,21
Dengue,2013,Pathum Thani,23,20
Dengue,2013,Pathum Thani,24,24
Dengue,2013,Pathum Thani,25,27
Dengue,2013,Pathum Thani,26,28
Dengue,2013,Pathum Thani,27,24
Dengue,2013,Pathum Thani,28,37
Dengue,2013,Pathum Thani,29,42
Dengue,2013,Pathum Thani,30,41
Dengue,2013,Pathum Thani,31,51
Dengue,2013,Pathum Thani,32,44
Dengue,2013,Pathum Thani,33,41
Dengue,2013,Pathum Thani,34,20
Dengue,2013,Pathum Thani,35,18
Dengue,2013,Pathum Thani,36,25
Dengue,2013,Pathum Thani,37,26
Dengue,2013,Pathum Thani,38,22
Dengue,2013,Pathum Thani,39,15
Dengue,2013,Pathum Thani,40,19
Dengue,2013,Pathum Thani,41,22
Dengue,2013,Pathum Thani,42,20
Dengue,2013,Pathum Thani,43,18
Dengue,2013,Pathum Thani,44,23
Dengue,2013,Pathum Thani,45,31
Dengue,2013,Pathum Thani,46,20
Dengue,2013,Pathum Thani,47,15
Dengue,2013,Pathum Thani,48,6
Dengue,2013,Pathum Thani,49,5
Dengue,2013,Pathum Thani,50,10
Dengue,2013,Pathum Thani,51,6
Dengue,2013,Pathum Thani,52,3
Dengue,2013,Pathum Thani,53,0
Dengue,2013,Phra Nakhon Si Ayutthaya,1,22
Dengue,2013,Phra Nakhon Si Ayutthaya,2,19
Dengue,2013,Phra Nakhon Si Ayutthaya,3,22
Dengue,2013,Phra Nakhon Si Ayutthaya,4,22
Dengue,2013,Phra Nakhon Si Ayutthaya,5,22
Dengue,2013,Phra Nakhon Si Ayutthaya,6,23
Dengue,2013,Phra Nakhon Si Ayutthaya,7,21
Dengue,2013,Phra Nakhon Si Ayutthaya,8,25
Dengue,2013,Phra Nakhon Si Ayutthaya,9,11
Dengue,2013,Phra Nakhon Si Ayutthaya,10,17
Dengue,2013,Phra Nakhon Si Ayutthaya,11,26
Dengue,2013,Phra Nakhon Si Ayutthaya,12,11
Dengue,2013,Phra Nakhon Si Ayutthaya,13,14
Dengue,2013,Phra Nakhon Si Ayutthaya,14,11
Dengue,2013,Phra Nakhon Si Ayutthaya,15,5
Dengue,2013,Phra Nakhon Si Ayutthaya,16,13
Dengue,2013,Phra Nakhon Si Ayutthaya,17,6
Dengue,2013,Phra Nakhon Si Ayutthaya,18,10
Dengue,2013,Phra Nakhon Si Ayutthaya,19,2
Dengue,2013,Phra Nakhon Si Ayutthaya,20,8
Dengue,2013,Phra Nakhon Si Ayutthaya,21,5
Dengue,2013,Phra Nakhon Si Ayutthaya,22,3
Dengue,2013,Phra Nakhon Si Ayutthaya,23,7
Dengue,2013,Phra Nakhon Si Ayutthaya,24,8
Dengue,2013,Phra Nakhon Si Ayutthaya,25,16
Dengue,2013,Phra Nakhon Si Ayutthaya,26,6
Dengue,2013,Phra Nakhon Si Ayutthaya,27,14
Dengue,2013,Phra Nakhon Si Ayutthaya,28,22
Dengue,2013,Phra Nakhon Si Ayutthaya,29,17
Dengue,2013,Phra Nakhon Si Ayutthaya,30,14
Dengue,2013,Phra Nakhon Si Ayutthaya,31,10
Dengue,2013,Phra Nakhon Si Ayutthaya,32,16
Dengue,2013,Phra Nakhon Si Ayutthaya,33,30
Dengue,2013,Phra Nakhon Si Ayutthaya,34,23
Dengue,2013,Phra Nakhon Si Ayutthaya,35,14
Dengue,2013,Phra Nakhon Si Ayutthaya,36,24
Dengue,2013,Phra Nakhon Si Ayutthaya,37,14
Dengue,2013,Phra Nakhon Si Ayutthaya,38,17
Dengue,2013,Phra Nakhon Si Ayutthaya,39,15
Dengue,2013,Phra Nakhon Si Ayutthaya,40,15
Dengue,2013,Phra Nakhon Si Ayutthaya,41,13
Dengue,2013,Phra Nakhon Si Ayutthaya,42,10
Dengue,2013,Phra Nakhon Si Ayutthaya,43,9
Dengue,2013,Phra Nakhon Si Ayutthaya,44,13
Dengue,2013,Phra Nakhon Si Ayutthaya,45,8
Dengue,2013,Phra Nakhon Si Ayutthaya,46,8
Dengue,2013,Phra Nakhon Si Ayutthaya,47,12
Dengue,2013,Phra Nakhon Si Ayutthaya,48,7
Dengue,2013,Phra Nakhon Si Ayutthaya,49,10
Dengue,2013,Phra Nakhon Si Ayutthaya,50,12
Dengue,2013,Phra Nakhon Si Ayutthaya,51,9
Dengue,2013,Phra Nakhon Si Ayutthaya,52,8
Dengue,2013,Phra Nakhon Si Ayutthaya,53,6
Dengue,2013,Ang Thong,1,8
Dengue,2013,Ang Thong,2,1
Dengue,2013,Ang Thong,3,9
Dengue,2013,Ang Thong,4,4
Dengue,2013,Ang Thong,5,4
Dengue,2013,Ang Thong,6,2
Dengue,2013,Ang Thong,7,9
Dengue,2013,Ang Thong,8,2
Dengue,2013,Ang Thong,9,4
Dengue,2013,Ang Thong,10,5
Dengue,2013,Ang Thong,11,0
Dengue,2013,Ang Thong,12,5
Dengue,2013,Ang Thong,13,3
Dengue,2013,Ang Thong,14,3
Dengue,2013,Ang Thong,15,4
Dengue,2013,Ang Thong,16,7
Dengue,2013,Ang Thong,17,4
Dengue,2013,Ang Thong,18,6
Dengue,2013,Ang Thong,19,11
Dengue,2013,Ang Thong,20,1
Dengue,2013,Ang Thong,21,4
Dengue,2013,Ang Thong,22,4
Dengue,2013,Ang Thong,23,6
Dengue,2013,Ang Thong,24,4
Dengue,2013,Ang Thong,25,6
Dengue,2013,Ang Thong,26,7
Dengue,2013,Ang Thong,27,8
Dengue,2013,Ang Thong,28,3
Dengue,2013,Ang Thong,29,2
Dengue,2013,Ang Thong,30,5
Dengue,2013,Ang Thong,31,6
Dengue,2013,Ang Thong,32,13
Dengue,2013,Ang Thong,33,10
Dengue,2013,Ang Thong,34,5
Dengue,2013,Ang Thong,35,2
Dengue,2013,Ang Thong,36,4
Dengue,2013,Ang Thong,37,8
Dengue,2013,Ang Thong,38,4
Dengue,2013,Ang Thong,39,3
Dengue,2013,Ang Thong,40,3
Dengue,2013,Ang Thong,41,6
Dengue,2013,Ang Thong,42,4
Dengue,2013,Ang Thong,43,5
Dengue,2013,Ang Thong,44,2
Dengue,2013,Ang Thong,45,2
Dengue,2013,Ang Thong,46,2
Dengue,2013,Ang Thong,47,1
Dengue,2013,Ang Thong,48,1
Dengue,2013,Ang Thong,49,2
Dengue,2013,Ang Thong,50,3
Dengue,2013,Ang Thong,51,0
Dengue,2013,Ang Thong,52,2
Dengue,2013,Ang Thong,53,0
Dengue,2013,Lopburi,1,7
Dengue,2013,Lopburi,2,13
Dengue,2013,Lopburi,3,10
Dengue,2013,Lopburi,4,7
Dengue,2013,Lopburi,5,1
Dengue,2013,Lopburi,6,13
Dengue,2013,Lopburi,7,18
Dengue,2013,Lopburi,8,20
Dengue,2013,Lopburi,9,11
Dengue,2013,Lopburi,10,13
Dengue,2013,Lopburi,11,8
Dengue,2013,Lopburi,12,13
Dengue,2013,Lopburi,13,15
Dengue,2013,Lopburi,14,9
Dengue,2013,Lopburi,15,1
Dengue,2013,Lopburi,16,5
Dengue,2013,Lopburi,17,3
Dengue,2013,Lopburi,18,10
Dengue,2013,Lopburi,19,6
Dengue,2013,Lopburi,20,10
Dengue,2013,Lopburi,21,10
Dengue,2013,Lopburi,22,14
Dengue,2013,Lopburi,23,13
Dengue,2013,Lopburi,24,16
Dengue,2013,Lopburi,25,21
Dengue,2013,Lopburi,26,26
Dengue,2013,Lopburi,27,26
Dengue,2013,Lopburi,28,41
Dengue,2013,Lopburi,29,23
Dengue,2013,Lopburi,30,37
Dengue,2013,Lopburi,31,43
Dengue,2013,Lopburi,32,27
Dengue,2013,Lopburi,33,28
Dengue,2013,Lopburi,34,25
Dengue,2013,Lopburi,35,18
Dengue,2013,Lopburi,36,22
Dengue,2013,Lopburi,37,29
Dengue,2013,Lopburi,38,20
Dengue,2013,Lopburi,39,14
Dengue,2013,Lopburi,40,10
Dengue,2013,Lopburi,41,14
Dengue,2013,Lopburi,42,24
Dengue,2013,Lopburi,43,16
Dengue,2013,Lopburi,44,13
Dengue,2013,Lopburi,45,35
Dengue,2013,Lopburi,46,17
Dengue,2013,Lopburi,47,16
Dengue,2013,Lopburi,48,10
Dengue,2013,Lopburi,49,9
Dengue,2013,Lopburi,50,9
Dengue,2013,Lopburi,51,6
Dengue,2013,Lopburi,52,3
Dengue,2013,Lopburi,53,7
Dengue,2013,Sing Buri,1,0
Dengue,2013,Sing Buri,2,3
Dengue,2013,Sing Buri,3,0
Dengue,2013,Sing Buri,4,4
Dengue,2013,Sing Buri,5,0
Dengue,2013,Sing Buri,6,1
Dengue,2013,Sing Buri,7,1
Dengue,2013,Sing Buri,8,1
Dengue,2013,Sing Buri,9,0
Dengue,2013,Sing Buri,10,2
Dengue,2013,Sing Buri,11,4
Dengue,2013,Sing Buri,12,5
Dengue,2013,Sing Buri,13,0
Dengue,2013,Sing Buri,14,2
Dengue,2013,Sing Buri,15,0
Dengue,2013,Sing Buri,16,1
Dengue,2013,Sing Buri,17,0
Dengue,2013,Sing Buri,18,0
Dengue,2013,Sing Buri,19,3
Dengue,2013,Sing Buri,20,0
Dengue,2013,Sing Buri,21,1
Dengue,2013,Sing Buri,22,0
Dengue,2013,Sing Buri,23,2
Dengue,2013,Sing Buri,24,9
Dengue,2013,Sing Buri,25,8
Dengue,2013,Sing Buri,26,9
Dengue,2013,Sing Buri,27,5
Dengue,2013,Sing Buri,28,4
Dengue,2013,Sing Buri,29,5
Dengue,2013,Sing Buri,30,5
Dengue,2013,Sing Buri,31,3
Dengue,2013,Sing Buri,32,0
Dengue,2013,Sing Buri,33,4
Dengue,2013,Sing Buri,34,5
Dengue,2013,Sing Buri,35,1
